cumatrixid,cumatrixtitle,cumatrixitemid,cumatrixitemtitle,cumatrixgrpids,cumatrixtags,posterid,pvnum,visitduration,accSubscribeNum,logdate
00000166D3C9E54E000000016375706F795F70726572656C656173654355,莫煩_搭建我的神經網路 深度學習必學Tensorflow,000001685AE5939F000000376375706F795F72656C656173654349,Tensorflow 21 自編碼 Autoencoder (非監督學習) (神經網絡 教學教程tutorial) ,"['tech_tw', 'robot_tw']","['Tensorflow', 'Transfer learning', '神經網路', '遷移學習']",B0310653,1,1,8,2019-07-02
000001697FB74EB0000000026375706F795F72656C656173654355,李宏毅_強化學習（Reinforce Learning）,000001697FBE4C04000000096375706F795F72656C656173654349,Policy Gradient (Review),"['tech_tw', 'robot_tw']",['機器學習'],6CA10149,1,6,2,2019-07-02
000001697FB74EB0000000026375706F795F72656C656173654355,李宏毅_強化學習（Reinforce Learning）,000001697FBE4E5F0000000A6375706F795F72656C656173654349, Proximal Policy Optimization (PPO),"['tech_tw', 'robot_tw']",['機器學習'],6CA10149,1,8,2,2019-07-02
000001697FC08CA7000000036375706F795F72656C656173654355,李宏毅 _對抗生成網路 GAN,000001697FC3116F000000136375706F795F72656C656173654349,Unsupervised Conditional Generation,"['tech_tw', 'robot_tw']",['empty'],6CA10149,2,12,2,2019-07-02
0000016A61A250D6000000016375706F795F72656C656173654355,"企業大數據認證( Enterprise Big Data Certification, EBDC ) ",0000016B6CC280D1000000086375706F795F72656C656173654349,2019年7月說明會與課程資訊,"['WhiteCollar_tw', 'business_tw', 'tech_tw', 'management_tw', 'robot_tw']",['empty'],C4410729,1,0,28,2019-07-02
0000015AE0AA617C000000076375706F795F72656C656173654355,曼食慢語,0000015AE0C8A189000000FF6375706F795F72656C656173654349,鮮肉粽子,"['CityTour_tw', 'Hedonism_tw', 'life_tw', 'PopularDelicacy_tw']","['廚藝', '料理', '美食']",33510142,1,0,33,2019-07-03
0000015B225FB53D000000016375706F795F72656C656173654355,得到知識新聞,0000015D98C95C17000001E06375706F795F72656C656173654349,如何應對負能量同事？,"['WhiteCollar_tw', 'business_tw', 'management_tw']","['學習', '知識', '閱讀']",97210140,1,1,81,2019-07-03
0000015B225FB53D000000016375706F795F72656C656173654355,得到知識新聞,0000015D98C98AB6000001E16375706F795F72656C656173654349,商業：如何更好地實現公司合併,"['WhiteCollar_tw', 'business_tw', 'management_tw']","['學習', '知識', '閱讀']",97210140,2,105,81,2019-07-03
0000015B225FB53D000000016375706F795F72656C656173654355,得到知識新聞,0000015D98C9C1F8000001E26375706F795F72656C656173654349,文學：虛構與真實,"['WhiteCollar_tw', 'business_tw', 'management_tw']","['學習', '知識', '閱讀']",97210140,1,2,81,2019-07-03
0000015B225FB53D000000016375706F795F72656C656173654355,得到知識新聞,0000015D98C9EFF3000001E36375706F795F72656C656173654349,新研究：男性對婚姻更滿意？,"['WhiteCollar_tw', 'business_tw', 'management_tw']","['學習', '知識', '閱讀']",97210140,3,110,81,2019-07-03
