interestAffinityCategory,vistornum,sessionnum,logdate
Shoppers/Luxury Shoppers,97,141,2019-06-28
Shoppers/Shopaholics,42,60,2019-06-28
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,20,29,2019-06-28
Shoppers/Shoppers by Store Type/Department Store Shoppers,48,76,2019-06-28
Shoppers/Value Shoppers,124,179,2019-06-28
Sports & Fitness/Health & Fitness Buffs,117,177,2019-06-28
Sports & Fitness/Sports Fans,92,134,2019-06-28
Sports & Fitness/Sports Fans/Baseball Fans,26,37,2019-06-28
Sports & Fitness/Sports Fans/Basketball Fans,33,47,2019-06-28
Technology/Mobile Enthusiasts,89,130,2019-06-28
Technology/Social Media Enthusiasts,19,23,2019-06-28
