interestInMarketCategory,vistornum,sessionnum,logdate
Education/Primary & Secondary Schools (K-12),24,32,2019-08-17
Education/Test Preparation & Tutoring,21,34,2019-08-17
Employment,53,105,2019-08-17
Employment/Career Consulting Services,32,71,2019-08-17
Employment/IT & Technical Jobs,36,74,2019-08-17
Financial Services/Banking Services,19,28,2019-08-17
Financial Services/Investment Services,43,83,2019-08-17
Gifts & Occasions/Holiday Items & Decorations,15,18,2019-08-17
Real Estate/Residential Properties,30,48,2019-08-17
Software/Antivirus & Security Software,21,44,2019-08-17
Software/Business & Productivity Software,52,91,2019-08-17
Software/Design Software/Drawing & Animation Software,21,42,2019-08-17
Software/Design Software/Photo Software,16,30,2019-08-17
Software/Video Software,16,25,2019-08-17
Travel/Air Travel,24,53,2019-08-17
Travel/Bus & Rail Travel,15,33,2019-08-17
Travel/Hotels & Accommodations,30,62,2019-08-17
Travel/Trips by Destination/Trips to Asia-Pacific,45,85,2019-08-17
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,13,24,2019-08-17
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,28,51,2019-08-17
Apparel & Accessories,11,31,2019-08-18
Autos & Vehicles/Motor Vehicles,37,59,2019-08-18
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,11,11,2019-08-18
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Honda,25,31,2019-08-18
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,12,14,2019-08-18
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Motorcycles,10,12,2019-08-18
Business Services,19,41,2019-08-18
Business Services/Advertising & Marketing Services,48,89,2019-08-18
Business Services/Business Technology,13,19,2019-08-18
Business Services/Business Technology/Enterprise Software,40,87,2019-08-18
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,12,31,2019-08-18
Business Services/Business Technology/Network Systems & Services,17,35,2019-08-18
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,10,23,2019-08-18
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,13,28,2019-08-18
Business Services/Business Technology/Web Services/Web Design & Development,22,47,2019-08-18
Business Services/Payment Processing & Merchant Services,19,35,2019-08-18
Computers & Peripherals/Computer Accessories & Components,59,104,2019-08-18
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,11,21,2019-08-18
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,26,51,2019-08-18
Computers & Peripherals/Computers,12,26,2019-08-18
Computers & Peripherals/Computers/Desktop Computers,14,29,2019-08-18
Computers & Peripherals/Computers/Laptops & Notebooks,23,40,2019-08-18
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,14,23,2019-08-18
Consumer Electronics/Audio,13,16,2019-08-18
Consumer Electronics/Audio/Headphones & Headsets,13,17,2019-08-18
Consumer Electronics/Mobile Phone Accessories,12,15,2019-08-18
Consumer Electronics/Mobile Phones,68,111,2019-08-18
Dating Services,26,42,2019-08-18
Education/Foreign Language Study,29,46,2019-08-18
Education/Post-Secondary Education,43,65,2019-08-18
Education/Post-Secondary Education/Technology Education,40,68,2019-08-18
Education/Primary & Secondary Schools (K-12),24,37,2019-08-18
Education/Test Preparation & Tutoring,21,34,2019-08-18
Employment,55,88,2019-08-18
Employment/Career Consulting Services,32,55,2019-08-18
Employment/IT & Technical Jobs,31,64,2019-08-18
Employment/Sales & Marketing Jobs,10,22,2019-08-18
Financial Services/Banking Services,17,27,2019-08-18
Financial Services/Credit & Lending/Credit Cards,11,14,2019-08-18
Financial Services/Investment Services,57,98,2019-08-18
Gifts & Occasions/Holiday Items & Decorations,13,17,2019-08-18
Gifts & Occasions/Wedding Planning,11,22,2019-08-18
Real Estate/Residential Properties,25,49,2019-08-18
Software/Antivirus & Security Software,23,50,2019-08-18
Software/Business & Productivity Software,51,97,2019-08-18
Software/Design Software/Drawing & Animation Software,22,57,2019-08-18
Software/Design Software/Photo Software,15,29,2019-08-18
Software/Video Software,18,34,2019-08-18
Telecom/Internet Service Providers,12,14,2019-08-18
Telecom/Mobile Phone Service Providers,12,17,2019-08-18
Travel/Air Travel,27,49,2019-08-18
Travel/Bus & Rail Travel,20,28,2019-08-18
Travel/Car Rental,10,11,2019-08-18
Travel/Hotels & Accommodations,38,67,2019-08-18
Travel/Trips by Destination/Trips to Asia-Pacific,49,90,2019-08-18
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,17,31,2019-08-18
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,18,35,2019-08-18
Travel/Vacation Packages,15,23,2019-08-18
Apparel & Accessories,21,26,2019-08-19
Apparel & Accessories/Activewear,12,21,2019-08-19
Autos & Vehicles/Motor Vehicles,53,77,2019-08-19
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,12,13,2019-08-19
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Honda,23,30,2019-08-19
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,25,35,2019-08-19
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Motorcycles,13,15,2019-08-19
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Scooters & Mopeds,12,13,2019-08-19
Beauty Products & Services/Makeup & Cosmetics,11,13,2019-08-19
Business Services,28,47,2019-08-19
Business Services/Advertising & Marketing Services,86,129,2019-08-19
Business Services/Business Financial Services,14,15,2019-08-19
Business Services/Business Technology,15,23,2019-08-19
Business Services/Business Technology/Enterprise Software,77,131,2019-08-19
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,19,28,2019-08-19
Business Services/Business Technology/Enterprise Software/ERP Solutions,11,18,2019-08-19
Business Services/Business Technology/Network Systems & Services,18,26,2019-08-19
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,25,36,2019-08-19
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,19,32,2019-08-19
Business Services/Business Technology/Web Services/Web Design & Development,48,93,2019-08-19
Business Services/Business Technology/Web Services/Web Hosting,15,27,2019-08-19
Business Services/Payment Processing & Merchant Services,32,47,2019-08-19
Computers & Peripherals/Computer Accessories & Components,78,122,2019-08-19
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,20,29,2019-08-19
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,35,56,2019-08-19
Computers & Peripherals/Computers,19,24,2019-08-19
Computers & Peripherals/Computers/Desktop Computers,18,23,2019-08-19
Computers & Peripherals/Computers/Laptops & Notebooks,38,56,2019-08-19
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,18,27,2019-08-19
Consumer Electronics/Audio,15,29,2019-08-19
Consumer Electronics/Audio/Headphones & Headsets,16,27,2019-08-19
Consumer Electronics/Cameras,10,12,2019-08-19
Consumer Electronics/Game Consoles/Sony PlayStation,11,12,2019-08-19
Consumer Electronics/Mobile Phone Accessories,11,17,2019-08-19
Consumer Electronics/Mobile Phones,96,165,2019-08-19
Dating Services,26,38,2019-08-19
Education/Foreign Language Study,46,63,2019-08-19
Education/Post-Secondary Education,55,84,2019-08-19
Education/Post-Secondary Education/Technology Education,59,102,2019-08-19
Education/Primary & Secondary Schools (K-12),34,55,2019-08-19
Education/Test Preparation & Tutoring,24,30,2019-08-19
Employment,80,124,2019-08-19
Employment/Career Consulting Services,47,75,2019-08-19
Employment/Government & Public Sector Jobs,10,21,2019-08-19
Employment/IT & Technical Jobs,48,85,2019-08-19
Financial Services/Banking Services,46,79,2019-08-19
Financial Services/Credit & Lending/Credit Cards,15,22,2019-08-19
Financial Services/Financial Planning,13,25,2019-08-19
Financial Services/Investment Services,89,145,2019-08-19
Gifts & Occasions/Holiday Items & Decorations,23,37,2019-08-19
Gifts & Occasions/Wedding Planning,10,18,2019-08-19
Home & Garden/Home Appliances,11,17,2019-08-19
Real Estate/Residential Properties,50,67,2019-08-19
Software/Antivirus & Security Software,33,58,2019-08-19
Software/Business & Productivity Software,92,140,2019-08-19
Software/Design Software/Drawing & Animation Software,54,86,2019-08-19
Software/Design Software/Photo Software,24,37,2019-08-19
Software/Tax & Accounting Software,12,20,2019-08-19
Software/Video Software,26,42,2019-08-19
Telecom/Internet Service Providers,15,24,2019-08-19
Telecom/Mobile Phone Service Providers,16,26,2019-08-19
Travel/Air Travel,31,51,2019-08-19
Travel/Bus & Rail Travel,36,45,2019-08-19
Travel/Car Rental,12,22,2019-08-19
Travel/Hotels & Accommodations,44,56,2019-08-19
Travel/Trips by Destination/Trips to Asia-Pacific,74,110,2019-08-19
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to China,15,28,2019-08-19
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,18,29,2019-08-19
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,45,70,2019-08-19
Travel/Vacation Packages,12,12,2019-08-19
Apparel & Accessories,21,33,2019-08-20
Apparel & Accessories/Activewear,11,15,2019-08-20
Autos & Vehicles/Motor Vehicles,43,79,2019-08-20
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,10,13,2019-08-20
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Honda,20,34,2019-08-20
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,14,25,2019-08-20
Beauty Products & Services,11,11,2019-08-20
Beauty Products & Services/Hair Care Products,14,17,2019-08-20
Business Services,27,54,2019-08-20
Business Services/Advertising & Marketing Services,73,120,2019-08-20
Business Services/Business Financial Services,10,18,2019-08-20
Business Services/Business Technology,21,38,2019-08-20
Business Services/Business Technology/Enterprise Software,70,128,2019-08-20
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,19,30,2019-08-20
Business Services/Business Technology/Network Systems & Services,21,34,2019-08-20
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,13,19,2019-08-20
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,14,28,2019-08-20
Business Services/Business Technology/Network Systems & Services/Network Management,12,21,2019-08-20
Business Services/Business Technology/Web Services/Web Design & Development,43,77,2019-08-20
Business Services/Business Technology/Web Services/Web Hosting,14,25,2019-08-20
Business Services/Payment Processing & Merchant Services,30,46,2019-08-20
Computers & Peripherals/Computer Accessories & Components,66,104,2019-08-20
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,18,32,2019-08-20
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,18,33,2019-08-20
Computers & Peripherals/Computers,24,39,2019-08-20
Computers & Peripherals/Computers/Desktop Computers,14,16,2019-08-20
Computers & Peripherals/Computers/Laptops & Notebooks,26,34,2019-08-20
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,14,24,2019-08-20
Consumer Electronics/Game Consoles/Sony PlayStation,10,14,2019-08-20
Consumer Electronics/Mobile Phones,75,132,2019-08-20
Dating Services,25,38,2019-08-20
Education/Foreign Language Study,30,56,2019-08-20
Education/Post-Secondary Education,55,84,2019-08-20
Education/Post-Secondary Education/Technology Education,58,104,2019-08-20
Education/Primary & Secondary Schools (K-12),34,50,2019-08-20
Education/Test Preparation & Tutoring,28,38,2019-08-20
Employment,82,127,2019-08-20
Employment/Accounting & Finance Jobs,10,16,2019-08-20
Employment/Career Consulting Services,51,80,2019-08-20
Employment/IT & Technical Jobs,40,79,2019-08-20
Employment/Sales & Marketing Jobs,12,16,2019-08-20
Event Tickets/Sports Tickets/Baseball Tickets,10,11,2019-08-20
Financial Services/Banking Services,36,58,2019-08-20
Financial Services/Credit & Lending/Credit Cards,14,21,2019-08-20
Financial Services/Investment Services,81,132,2019-08-20
Gifts & Occasions/Holiday Items & Decorations,18,24,2019-08-20
Gifts & Occasions/Wedding Planning,11,18,2019-08-20
Real Estate/Residential Properties,52,84,2019-08-20
Software/Antivirus & Security Software,31,58,2019-08-20
Software/Business & Productivity Software,87,140,2019-08-20
Software/Design Software/Drawing & Animation Software,49,83,2019-08-20
Software/Design Software/Photo Software,26,38,2019-08-20
Software/Tax & Accounting Software,12,15,2019-08-20
Software/Video Software,17,30,2019-08-20
Telecom/Internet Service Providers,19,31,2019-08-20
Telecom/Mobile Phone Service Providers,18,28,2019-08-20
Travel/Air Travel,35,52,2019-08-20
Travel/Bus & Rail Travel,38,45,2019-08-20
Travel/Car Rental,16,29,2019-08-20
Travel/Hotels & Accommodations,44,68,2019-08-20
Travel/Trips by Destination/Trips to Asia-Pacific,67,107,2019-08-20
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to China,14,26,2019-08-20
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,18,36,2019-08-20
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,40,67,2019-08-20
Travel/Vacation Packages,10,21,2019-08-20
Apparel & Accessories,19,29,2019-08-21
Apparel & Accessories/Women's Apparel,15,21,2019-08-21
Autos & Vehicles/Motor Vehicles,51,68,2019-08-21
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Honda,35,42,2019-08-21
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,13,21,2019-08-21
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Motorcycles,11,12,2019-08-21
Beauty Products & Services/Hair Care Products,16,22,2019-08-21
Beauty Products & Services/Makeup & Cosmetics,12,19,2019-08-21
Business Services,17,40,2019-08-21
Business Services/Advertising & Marketing Services,69,111,2019-08-21
Business Services/Business Technology,17,33,2019-08-21
Business Services/Business Technology/Enterprise Software,61,121,2019-08-21
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,19,24,2019-08-21
Business Services/Business Technology/Network Systems & Services,18,29,2019-08-21
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,23,36,2019-08-21
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,14,28,2019-08-21
Business Services/Business Technology/Web Services/Web Design & Development,43,77,2019-08-21
Business Services/Business Technology/Web Services/Web Hosting,12,21,2019-08-21
Business Services/Payment Processing & Merchant Services,27,38,2019-08-21
Computers & Peripherals/Computer Accessories & Components,45,81,2019-08-21
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,16,25,2019-08-21
